route,date,daytype,rides,year,month,day,day_of_week,is_weekend,season,route_encoded,TMAX,TMIN,PRCP,SNOW,AWND,is_rainy,is_snowy,rides_lag_1,rides_lag_7,rides_rolling_7,high_load
90,2009-07-09,W,5241,2009,7,9,3,0,2,152,15.0,5.0,0.0,0.0,10.0,0,0,5423.0,5594.0,4352.142857142857,1
130,2022-05-30,U,98,2022,5,30,0,1,1,25,0.0,0.0,0.0,0.0,0.0,0,0,264.0,318.0,347.0,0
82,2024-10-07,W,13947,2024,10,7,0,0,3,143,0.0,0.0,0.0,0.0,0.0,0,0,5926.0,13710.0,11996.142857142857,0
56A,2001-01-26,W,555,2001,1,26,4,0,0,110,15.0,5.0,0.0,0.0,10.0,0,0,773.0,538.0,616.1428571428571,0
1,2005-11-15,W,3291,2005,11,15,1,0,3,0,15.0,5.0,0.0,0.0,10.0,0,0,3219.0,2298.0,3141.428571428572,1
20,2024-03-05,W,10564,2024,3,5,1,0,1,58,0.0,0.0,0.0,0.0,0.0,0,0,10066.0,11389.0,9611.57142857143,0
147,2024-01-30,W,9332,2024,1,30,1,0,0,36,0.0,0.0,0.0,0.0,0.0,0,0,8222.0,8166.0,7436.571428571428,0
171,2024-09-06,W,422,2024,9,6,4,0,3,50,0.0,0.0,0.0,0.0,0.0,0,0,453.0,356.0,675.1428571428571,0
172,2025-11-28,W,573,2025,11,28,4,0,3,51,0.0,0.0,0.0,0.0,0.0,0,0,219.0,2229.0,860.8571428571429,0
111,2003-01-24,W,5057,2003,1,24,4,0,0,9,15.0,5.0,0.0,0.0,10.0,0,0,5655.0,5937.0,4469.714285714285,1
37,2017-09-08,W,1261,2017,9,8,4,0,3,83,15.0,5.0,0.0,0.0,10.0,0,0,1406.0,1245.0,1290.571428571429,0
148,2015-03-26,W,2530,2015,3,26,3,0,1,37,15.0,5.0,0.0,0.0,10.0,0,0,2679.0,2711.0,2670.5714285714284,1
63W,2009-08-03,W,1956,2009,8,3,0,0,2,118,15.0,5.0,0.0,0.0,10.0,0,0,669.0,1907.0,1630.0,1
81W,2008-03-12,W,1609,2008,3,12,2,0,1,142,15.0,5.0,0.0,0.0,10.0,0,0,2120.0,2012.0,1499.571428571429,1
97,2023-02-23,W,1780,2023,2,23,3,0,0,162,0.0,0.0,0.0,0.0,0.0,0,0,1584.0,1578.0,1550.571428571429,0
97,2023-01-01,U,737,2023,1,1,6,1,0,162,0.0,0.0,0.0,0.0,0.0,0,0,1169.0,305.0,1255.428571428571,0
63W,2021-12-18,A,354,2021,12,18,5,1,0,118,0.0,0.0,0.0,0.0,0.0,0,0,1008.0,339.0,837.7142857142857,0
53,2004-01-15,W,21747,2004,1,15,3,0,0,100,15.0,5.0,0.0,0.0,10.0,0,0,20834.0,21044.0,18871.285714285717,1
97,2005-12-23,W,2561,2005,12,23,4,0,0,162,15.0,5.0,0.0,0.0,10.0,0,0,2967.0,3102.0,2732.5714285714284,0
59,2016-07-08,W,2960,2016,7,8,4,0,2,112,15.0,5.0,0.0,0.0,10.0,0,0,3064.0,2845.0,2749.5714285714284,0
55,2016-03-28,W,10350,2016,3,28,0,0,1,106,15.0,5.0,0.0,0.0,10.0,0,0,6003.0,10550.0,9074.285714285714,0
201,2009-09-28,W,1886,2009,9,28,0,0,3,60,15.0,5.0,0.0,0.0,10.0,0,0,899.0,800.0,1696.7142857142858,1
152,2004-08-27,W,9486,2004,8,27,4,0,2,40,15.0,5.0,0.0,0.0,10.0,0,0,10879.0,7921.0,8458.857142857143,1
11,2009-02-15,U,1730,2009,2,15,6,1,0,8,15.0,5.0,0.0,0.0,10.0,0,0,2322.0,1687.0,4746.285714285715,0
81W,2003-04-18,W,1479,2003,4,18,4,0,1,142,15.0,5.0,0.0,0.0,10.0,0,0,1796.0,1777.0,1512.857142857143,0
136,2006-03-24,W,1477,2006,3,24,4,0,1,29,15.0,5.0,0.0,0.0,10.0,0,0,1769.0,2188.0,1860.142857142857,0
85A,2012-09-20,W,1136,2012,9,20,3,0,3,146,15.0,5.0,0.0,0.0,10.0,0,0,908.0,974.0,833.8571428571429,1
49,2006-09-05,W,21862,2006,9,5,1,0,3,92,15.0,5.0,0.0,0.0,10.0,0,0,13790.0,18833.0,18324.85714285714,1
53A,2024-10-23,W,6627,2024,10,23,2,0,3,101,0.0,0.0,0.0,0.0,0.0,0,0,6700.0,6699.0,5421.571428571428,0
147,2009-05-23,A,12548,2009,5,23,5,1,1,36,15.0,5.0,0.0,0.0,10.0,0,0,16670.0,13523.0,15148.42857142857,1
81,2021-03-30,W,6054,2021,3,30,1,0,1,141,0.0,0.0,0.0,0.0,0.0,0,0,5734.0,5164.0,5097.857142857143,0
5,2007-02-24,A,263,2007,2,24,5,1,0,95,15.0,5.0,0.0,0.0,10.0,0,0,239.0,411.0,274.85714285714283,0
51,2013-07-11,W,1452,2013,7,11,3,0,2,97,15.0,5.0,0.0,0.0,10.0,0,0,1385.0,769.0,1132.142857142857,0
100,2025-07-30,W,258,2025,7,30,2,0,2,2,0.0,0.0,0.0,0.0,0.0,0,0,263.0,387.0,321.2857142857143,0
55A,2018-08-31,W,293,2018,8,31,4,0,2,107,15.0,5.0,0.0,0.0,10.0,0,0,344.0,391.0,362.57142857142856,1
10,2008-08-19,W,1122,2008,8,19,1,0,2,1,15.0,5.0,0.0,0.0,10.0,0,0,1217.0,1366.0,1345.7142857142858,1
71,2006-03-27,W,10776,2006,3,27,0,0,1,130,15.0,5.0,0.0,0.0,10.0,0,0,5814.0,10858.0,9878.142857142857,1
8A,2018-01-04,W,1797,2018,1,4,3,0,0,150,15.0,5.0,0.0,0.0,10.0,0,0,1824.0,1549.0,1402.7142857142858,0
8A,2025-01-26,U,1226,2025,1,26,6,1,0,150,0.0,0.0,0.0,0.0,0.0,0,0,1789.0,1051.0,1658.142857142857,0
55,2020-07-12,U,2455,2020,7,12,6,1,2,106,0.0,0.0,0.0,0.0,0.0,0,0,2766.0,2501.0,3263.8571428571427,0
85,2024-06-28,W,7138,2024,6,28,4,0,2,145,0.0,0.0,0.0,0.0,0.0,0,0,8274.0,7608.0,7083.571428571428,0
92,2006-03-01,W,8766,2006,3,1,2,0,1,155,15.0,5.0,0.0,0.0,10.0,0,0,7138.0,8149.0,6671.714285714285,1
80,2011-02-21,W,11614,2011,2,21,0,0,0,140,15.0,5.0,0.0,0.0,10.0,0,0,6471.0,15710.0,13488.57142857143,1
91,2024-03-26,W,3443,2024,3,26,1,0,1,154,0.0,0.0,0.0,0.0,0.0,0,0,3295.0,4258.0,3334.0,0
68,2005-05-19,W,1663,2005,5,19,3,0,1,125,15.0,5.0,0.0,0.0,10.0,0,0,1664.0,1847.0,1316.142857142857,1
76,2023-12-31,U,3069,2023,12,31,6,1,0,135,0.0,0.0,0.0,0.0,0.0,0,0,5218.0,3154.0,4723.142857142857,0
95E,2004-06-28,W,4902,2004,6,28,0,0,2,159,15.0,5.0,0.0,0.0,10.0,0,0,3343.0,5032.0,4349.0,0
51,2001-09-11,W,4471,2001,9,11,1,0,3,97,15.0,5.0,0.0,0.0,10.0,0,0,6822.0,7598.0,5305.714285714285,1
85A,2020-12-19,A,146,2020,12,19,5,1,0,146,0.0,0.0,0.0,0.0,0.0,0,0,248.0,273.0,328.57142857142856,0
67,2025-03-10,W,7247,2025,3,10,0,0,1,124,0.0,0.0,0.0,0.0,0.0,0,0,3997.0,7333.0,6453.857142857143,0
204,2002-01-25,W,1202,2002,1,25,4,0,0,63,15.0,5.0,0.0,0.0,10.0,0,0,1509.0,1309.0,1293.428571428571,0
7,2021-06-30,W,1546,2021,6,30,2,0,2,128,0.0,0.0,0.0,0.0,0.0,0,0,1548.0,1525.0,1464.7142857142858,0
125,2018-11-29,W,1185,2018,11,29,3,0,3,20,15.0,5.0,0.0,0.0,10.0,0,0,1352.0,1252.0,982.0,0
63W,2024-06-04,W,1377,2024,6,4,1,0,2,118,0.0,0.0,0.0,0.0,0.0,0,0,1225.0,1225.0,1062.2857142857142,0
43,2004-01-24,A,566,2004,1,24,5,1,0,88,15.0,5.0,0.0,0.0,10.0,0,0,1218.0,542.0,905.5714285714286,0
49B,2009-08-01,A,3735,2009,8,1,5,1,2,94,15.0,5.0,0.0,0.0,10.0,0,0,5364.0,4018.0,4766.0,0
X9,2008-05-12,W,11681,2008,5,12,0,0,1,185,15.0,5.0,0.0,0.0,10.0,0,0,12879.0,15057.0,12728.714285714286,1
